gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001526,2020-12-31,2021-06-30,2020.0,ANAT,02772A109,AMERICAN NATIONAL GROUP-OLD,29467.815,23002.248,6936.617,3792.399,590.748,590.748,0.020047227797514004,0.08516370443978671,,6458.27,6458.27,478.347,0.0,0.0,0.0,3792.399,3792.399,3201.651,,,39.863,332.463,467.505,52.551
001545,2020-12-31,2021-06-30,2020.0,ARL,029174109,AMERICAN REALTY INVESTORS,865.764,535.358,218.785,75.007,41.23800000000001,30.624000000000006,0.047631918167075564,0.1399730328861668,,236.791,234.99,0.0,18.006,18.006,1.801,75.007,75.007,33.769,10.614,,17.505,3.498,9.03,14.755
001559,2020-12-31,2021-06-30,2020.0,AMS,029595105,AMERICAN SHARED HSPTL SERV,43.653,20.003,19.692,17.837,11.254999999999999,6.808999999999999,0.2578287861086294,0.34577493398334347,,19.274,19.274,0.418,0.0,0.0,0.0,17.837,17.837,6.582,4.446,,0.455,9.745,-7.058,6.789
001562,2020-04-30,2020-10-31,2019.0,LGTY,029683109,LOGILITY SPPLY CHAIN SOL INC,171.293,51.871,122.319,115.466,70.976,14.150999999999996,0.41435435189996084,0.11568930419640445,,119.422,119.422,2.897,0.0,0.0,0.0,115.466,115.466,44.49,56.825,15.348,0.42,25.982,6.742,8.103
001585,2020-12-31,2021-06-30,2020.0,AVD,030371108,AMERICAN VANGUARD CORP,680.293,319.557,384.296,458.704,192.49200000000002,38.40300000000002,0.28295455046575524,0.09993078252180616,,360.736,360.736,23.56,0.0,0.0,0.0,458.704,458.704,266.212,154.089,8.757,11.249,89.198,15.242,19.902
001598,2020-12-31,2021-06-30,2020.0,AME,031100100,AMETEK INC,10357.483,4408.137,6482.824,4540.029,1842.5170000000003,1327.0870000000004,0.17789235087327687,0.2047081642197907,,5949.346,5949.346,533.478,0.0,0.0,0.0,4540.029,4540.029,2697.512,515.43,158.9,74.199,1280.98,872.439,255.275
001602,2020-12-31,2021-06-30,2020.0,AMGN,031162100,AMGEN INC,62948.0,53539.0,9409.0,25424.0,22705.0,12576.0,0.3606945415263392,1.3365926240833246,,9409.0,9409.0,,0.0,0.0,0.0,25424.0,25424.0,2719.0,10129.0,4207.0,608.0,10497.0,7264.0,3440.0
001613,2020-12-31,2021-06-30,2020.0,AP,032037103,AMPCO-PITTSBURGH CORP,463.208,378.209,77.967,328.544,70.262,24.72,0.15168563582666966,0.3170572165146793,,76.564,76.564,1.403,0.0,0.0,0.0,328.544,328.544,258.282,45.542,2.047,8.466,33.635,7.97,18.575
001618,2020-04-30,2020-10-31,2019.0,AXR,032159105,AMREP CORP,96.666,12.029,84.637,18.783,3.556000000000001,0.5530000000000008,0.036786460596279984,0.006533785460259707,,84.637,84.637,0.0,0.0,0.0,0.0,18.783,18.783,15.227,3.003,,0.009,0.765,-5.903,0.537
001632,2020-10-31,2021-04-30,2020.0,ADI,032654105,ANALOG DEVICES INC,21468.603,9470.658,13917.539999999999,5603.056,4071.946,2421.602,0.18966981689493256,0.17399641028515098,,11997.945,11997.945,1919.595,0.0,0.0,0.0,5603.056,5603.056,1531.11,1650.344,1050.519,165.692,2008.487,1220.761,810.923
